time_step,best_bid,best_ask,assets,ema_swim_bid,cash,total_profit
49,2.4019,2.402,0,49.27995,2.402298336071722,1.0
50,2.4019,2.402,0,49.27995,2.4022802298866437,1.0
51,2.4019,2.402,0,49.27995,2.402254990961989,1.0
52,2.4027,2.4028,0,49.27995,2.4022560704159597,1.0
53,2.4023,2.4024,0,49.27995,2.4022577374188283,1.0
54,2.4022,2.4023,0,49.27995,2.4022576926893735,1.0
55,2.4024,2.4025,0,49.27995,2.4022603970127783,1.0
56,2.4024,2.4025,0,49.27995,2.402264815982914,1.0
57,2.4029,2.403,0,49.27995,2.402307109609281,1.0
58,2.4032,2.4033,0,49.27995,2.402406650968361,1.0
59,2.4029,2.403,0,49.27995,2.402453731905954,1.0
60,2.4024,2.4025,0,49.27995,2.4024641530099107,1.0
61,2.4023,2.4024,1,46.87755,2.402496124976814,0.9999979707771618
62,2.4032,2.4033,0,49.28075,2.402530377456582,1.0000162337827048
63,2.4044,2.4045,0,49.28075,2.402749386465651,1.0000162337827048
64,2.4041,2.4042,0,49.28075,2.4034246932328256,1.0000162337827048
65,2.4044,2.4045,0,49.28075,2.403912346616413,1.0000162337827048
66,2.4047,2.4048,0,49.28075,2.404227407969848,1.0000162337827048
67,2.4046,2.4047,0,49.28075,2.4043516053132317,1.0000162337827048
68,2.4056,2.4057,0,49.28075,2.404975802656616,1.0000162337827048
69,2.4068,2.4069,0,49.28075,2.405887901328308,1.0000162337827048
70,2.407,2.4071,0,49.28075,2.406443950664154,1.0000162337827048
71,2.4071,2.4072,0,49.28075,2.406771975332077,1.0000162337827048
72,2.4071,2.4072,0,49.28075,2.406903185199246,1.0000162337827048
73,2.4067,2.4068,0,49.28075,2.4068354567994974,1.0000162337827048
74,2.4069,2.407,0,49.28075,2.4068538977139267,1.0000162337827048
75,2.4066,2.4067,0,49.28075,2.4066854023239594,1.0000162337827048
76,2.4065,2.4066,0,49.28075,2.4065959445025586,1.0000162337827048
77,2.4073,2.4074,0,49.28075,2.406562992310276,1.0000162337827048
78,2.4079,2.408,0,49.28075,2.4072314961551378,1.0000162337827048
79,2.4081,2.4082,0,49.28075,2.407665748077569,1.0000162337827048
80,2.408,2.4081,0,49.28075,2.407799448846541,1.0000162337827048
81,2.4069,2.407,0,49.28075,2.4074493178668006,1.0000162337827048
82,2.4066,2.4067,0,49.28075,2.407228871750834,1.0000162337827048
83,2.407,2.4071,0,49.28075,2.4071178827260447,1.0000162337827048
84,2.4068,2.4069,0,49.28075,2.407058440301492,1.0000162337827048
85,2.4065,2.4066,0,49.28075,2.407000278079236,1.0000162337827048
86,2.4065,2.4066,0,49.28075,2.406947096880299,1.0000162337827048
87,2.4065,2.4066,0,49.28075,2.4068995793635564,1.0000162337827048
88,2.4067,2.4068,0,49.28075,2.406865596905391,1.0000162337827048
89,2.4067,2.4068,0,49.28075,2.406840112519155,1.0000162337827048
90,2.4061,2.4062,0,49.28075,2.406800481726712,1.0000162337827048
91,2.4065,2.4066,0,49.28075,2.4067670573244793,1.0000162337827048
92,2.4057,2.4058,0,49.28075,2.4066016840176863,1.0000162337827048
93,2.405,2.4051,0,49.28075,2.4063884236632997,1.0000162337827048
94,2.405,2.4051,0,49.28075,2.4056942118316496,1.0000162337827048
95,2.4056,2.4057,1,46.875049999999995,2.4057518000167555,1.0000142045598666
96,2.405,2.4051,1,46.875049999999995,2.4057455010510393,1.000002029222838
97,2.405,2.4051,1,46.875049999999995,2.405532500750742,1.000002029222838
98,2.4044,2.4045,1,46.875049999999995,2.405457015469124,0.9999898538858095
99,2.4044,2.4045,1,46.875049999999995,2.4050342092814745,0.9999898538858095
100,2.4041,2.4042,1,46.875049999999995,2.40472280618765,0.9999837662172951
101,2.403,2.4031,1,46.875049999999995,2.403861403093825,0.9999614447660762
102,2.4029,2.403,1,46.875049999999995,2.4033807015469124,0.9999594155432381
103,2.4028,2.4029,1,46.875049999999995,2.4030903507734562,0.9999573863204
104,2.4029,2.403,1,46.875049999999995,2.4030142104640735,0.9999594155432381
105,2.4026,2.4027,1,46.875049999999995,2.4028761403093823,0.9999533278747238
106,2.403,2.4031,1,46.875049999999995,2.403054666761033,0.9999614447660762
107,2.4031,2.4032,1,46.875049999999995,2.403137646794166,0.9999634739889143
108,2.4033,2.4034,1,46.875049999999995,2.403191075475172,0.9999675324345905
109,2.4039,2.404,1,46.875049999999995,2.403312576623022,0.999979707771619
110,2.4045,2.4046,1,46.875049999999995,2.403495081725292,0.9999918831086475
111,2.4046,2.4047,1,46.875049999999995,2.4040475408626456,0.9999939123314857
112,2.4054,2.4055,1,46.875049999999995,2.4040877561050102,1.0000101461141904
113,2.4054,2.4055,1,46.875049999999995,2.404612653663006,1.0000101461141904
114,2.4057,2.4058,1,46.875049999999995,2.405156326831503,1.0000162337827048
115,2.4057,2.4058,1,46.875049999999995,2.405373796098902,1.0000162337827048
116,2.4059,2.406,0,49.28095,2.405549197399268,1.000020292228381
117,2.4064,2.4065,0,49.28095,2.4057922838566204,1.000020292228381
118,2.4061,2.4062,0,49.28095,2.4058692128924655,1.000020292228381
119,2.4055,2.4056,0,49.28095,2.4057886381325746,1.000020292228381
120,2.4055,2.4056,0,49.28095,2.4057304479198365,1.000020292228381
121,2.4054,2.4055,0,49.28095,2.4056845814105654,1.000020292228381
122,2.4057,2.4058,0,49.28095,2.405650648758595,1.000020292228381
123,2.4056,2.4057,0,49.28095,2.4056295024357914,1.000020292228381
124,2.4062,2.4063,0,49.28095,2.405629490665623,1.000020292228381
125,2.4069,2.407,0,49.28095,2.405744962623789,1.000020292228381
126,2.407,2.4071,0,49.28095,2.4063724813118945,1.000020292228381
127,2.4072,2.4073,0,49.28095,2.406703488787137,1.000020292228381
128,2.4072,2.4073,0,49.28095,2.4068689925247577,1.000020292228381
129,2.4072,2.4073,0,49.28095,2.4069635660891127,1.000020292228381
130,2.407,2.4071,0,49.28095,2.406886722603838,1.000020292228381
131,2.4061,2.4062,0,49.28095,2.4067208944533793,1.000020292228381
132,2.4057,2.4058,0,49.28095,2.406560247077884,1.000020292228381
133,2.4067,2.4068,0,49.28095,2.4065409690525086,1.000020292228381
134,2.4065,2.4066,0,49.28095,2.406529765180655,1.000020292228381
135,2.406,2.4061,0,49.28095,2.4064865303899694,1.000020292228381
136,2.406,2.4061,0,49.28095,2.406442306672461,1.000020292228381
137,2.405,2.4051,0,49.28095,2.4062569133216583,1.000020292228381
138,2.4041,2.4042,0,49.28095,2.4051784566608294,1.000020292228381
139,2.4041,2.4042,0,49.28095,2.4046392283304145,1.000020292228381
140,2.4043,2.4044,0,49.28095,2.4045035369982486,1.000020292228381
141,2.4043,2.4044,0,49.28095,2.404435691332166,1.000020292228381
142,2.4044,2.4045,0,49.28095,2.4045773491353684,1.000020292228381
143,2.4049,2.405,0,49.28095,2.404664453733125,1.000020292228381
144,2.4054,2.4055,0,49.28095,2.404838222672816,1.000020292228381
145,2.4055,2.4056,0,49.28095,2.4049694715415244,1.000020292228381
146,2.4055,2.4056,0,49.28095,2.405051009604627,1.000020292228381
147,2.4059,2.406,0,49.28095,2.4051358200483435,1.000020292228381
148,2.4059,2.406,0,49.28095,2.4052151693441925,1.000020292228381
149,2.4064,2.4065,0,49.28095,2.4053230919537567,1.000020292228381
150,2.4057,2.4058,0,49.28095,2.405387376293306,1.000020292228381
151,2.4049,2.405,1,46.875949999999996,2.4053993104309104,1.0000182630055428
152,2.4047,2.4048,1,46.875949999999996,2.4053699117857854,1.0000142045598666
153,2.4047,2.4048,1,46.875949999999996,2.405311569553869,1.0000142045598666
154,2.4051,2.4052,0,49.28104999999999,2.405274879879972,1.000022321451219
155,2.4037,2.4038,0,49.28104999999999,2.40513632810215,1.000022321451219
156,2.4037,2.4038,0,49.28104999999999,2.4046575520681004,1.000022321451219
157,2.4037,2.4038,0,49.28104999999999,2.4041787760340503,1.000022321451219
158,2.4039,2.404,0,49.28104999999999,2.404270955122284,1.000022321451219
159,2.4031,2.4032,0,49.28104999999999,2.4042376977721807,1.000022321451219
160,2.4031,2.4032,0,49.28104999999999,2.403912641265843,1.000022321451219
161,2.4027,2.4028,0,49.28104999999999,2.4033063206329217,1.000022321451219
162,2.4027,2.4028,0,49.28104999999999,2.403063792379753,1.000022321451219
163,2.4038,2.4039,0,49.28104999999999,2.4031708553932525,1.000022321451219
164,2.4039,2.404,0,49.28104999999999,2.403412335288684,1.000022321451219
165,2.4031,2.4032,0,49.28104999999999,2.403435799659616,1.000022321451219
166,2.4029,2.403,0,49.28104999999999,2.403435580042451,1.000022321451219
167,2.4025,2.4026,0,49.28104999999999,2.403350033172698,1.000022321451219
168,2.4025,2.4026,0,49.28104999999999,2.403010019903619,1.000022321451219
169,2.4019,2.402,0,49.28104999999999,2.4029670810018025,1.000022321451219
170,2.4019,2.402,0,49.28104999999999,2.4026113873345354,1.000022321451219
171,2.4024,2.4025,0,49.28104999999999,2.40262407042771,1.000022321451219
172,2.4025,2.4026,0,49.28104999999999,2.4026259755319583,1.000022321451219
173,2.4021,2.4022,0,49.28104999999999,2.4026079402541387,1.000022321451219
174,2.4014,2.4015,0,49.28104999999999,2.4025460180216176,1.000022321451219
175,2.401,2.4011,0,49.28104999999999,2.4017730090108085,1.000022321451219
176,2.4019,2.402,0,49.28104999999999,2.4018197561410064,1.000022321451219
177,2.4026,2.4027,0,49.28104999999999,2.401986306530864,1.000022321451219
178,2.4027,2.4028,0,49.28104999999999,2.4021193220057273,1.000022321451219
179,2.4029,2.403,0,49.28104999999999,2.402219630924357,1.000022321451219
180,2.4032,2.4033,0,49.28104999999999,2.402340173053549,1.000022321451219
181,2.403,2.4031,0,49.28104999999999,2.402416717797367,1.000022321451219
182,2.4037,2.4038,0,49.28104999999999,2.4025281157490856,1.000022321451219
183,2.4037,2.4038,0,49.28104999999999,2.4028210868118145,1.000022321451219
184,2.4038,2.4039,0,49.28104999999999,2.403065815108861,1.000022321451219
185,2.4037,2.4038,0,49.28104999999999,2.403097763904984,1.000022321451219
186,2.4032,2.4033,0,49.28104999999999,2.4031201544644953,1.000022321451219
187,2.4038,2.4039,0,49.28104999999999,2.4031576174187306,1.000022321451219
188,2.4038,2.4039,0,49.28104999999999,2.403200072188565,1.000022321451219
